id,full_text,entities,regest,sender_name,sender_id,receiver_name,receiver_id,sender_date
Kasten_blau_45_10_26r-v.xml,nein,nein,ja,"Johann Wilhelm von
						Pfalz-Neuburg",#emt_person_id__18,"Eleonora Magdalena von
						Pfalz-Neuburg",#emt_person_id__9,1690-02-15
Kasten_blau_45_15_0468.xml,nein,nein,ja,Philip Wilhelm von Pfalz-Neuburg,#emt_person_id__50,"Eleonora Magdalena von
						Pfalz-Neuburg",#emt_person_id__9,1688-10-13
emt___77-8806b.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1701-04-06
emt___77-8806c-2.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1701-04-16
emt___77-8806c-3.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1701-01-01
emt___77-8806c-4.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1701-04-27
emt___77-8806c.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,,#,1701-04-13
emt___77-8811-korrespondenz-kurfursten-2.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1687-07-02
emt___77-8811-korrespondenz-kurfursten-3.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1687-09-07
emt___77-8811-korrespondenz-kurfursten-4.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1686-02-04
emt___77-8811-korrespondenz-kurfursten-5.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1688-07-11
emt___77-8811-korrespondenz-kurfursten-6.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1688-06-25
