key,de,en
index__h1,"Familiensache?","Family matters?"
index__h2,"Die Korrespondenz der Kaiserin Eleonora Magdalena (1655-1720)","The correspondence of Empress Eleonora Magdalena (1655-1720)"
index__teaser,"Zwischen 1677 und 1716 gingen eine Unzahl von Briefen hin und her zwischen Wien, Düsseldorf, Neuburg an der Donau und Heidelberg: Kaiserin Eleonora Magdalena korrespondierte mit Vater bzw. Bruder, den Kurfürsten von der Pfalz. Erstmals wird hier die umfangreiche Korrespondenz im Volltext zugänglich gemacht.","Between 1677 and 1716, countless letters went back and forth between Vienna, Düsseldorf, Neuburg an der Donau and Heidelberg: Empress Eleonora Magdalena corresponded with her father and brother, the Elector Palatine. For the first time, the extensive correspondence is made available in full text here."
index__about_the_project,"Über das Projekt","About the project"
index__index_of_letters,"Briefverzeichnis","Index of letters",
index__index_of_letters_text,"In die erschlossenen Korrespondenzen kann über eine tabellarische sowie eine kalendarische Ansicht eingestiegen werden.","The catalogued correspondence can be accessed via a tabular and a calendar view."
index__index_of_letters_button,"Zum Verzeichnis","To the catalogue"
index__biograpy_teaser,"Biographische Skizzen zu <a href='philippwilhelm.html'>Philipp Wilhelm</a>, <a href='eleonora.html'>Eleonora</a> und <a href='johannwilhelm.html'>Johann Wilhelm</a> von Pfalz-Neuburg.","Short biographical texts on <a href='philippwilhelm.html'>Philipp Wilhelm</a>, <a href='eleonora.html'>Eleonora</a> and <a href='johannwilhelm.html'>Johann Wilhelm</a> of Palatine-Neuburg."
index__blog_text,"Wenn man heute von Kaiserinnen spricht, so denken die meisten, gerade in Wien, eigentlich nur an zwei Frauen: Maria Theresia und Elisabeth, genannt Sissi. Dabei gibt es seit dem Mittelalter eine lange Reihe von Frauen, die diesen Titel trugen und denen damit im Rahmen des Heiligen Römischen Reiches herrschaftliche Befugnisse, zeremonieller Rang und symbolische Bedeutung zukamen. Mit diesen Fürstinnen der Frühen Neuzeit hat sich die Forschung bislang jedoch kaum beschäftigt. Der Blog liefert Einblicke in unser derzeit laufendes Forschungsprojekt und führt die politische und repräsentative Rolle dieser Frauen vor Augen...","When people talk about empresses today, most of them, especially in Vienna, only think of two women: Maria Theresa and Elisabeth, known as Sissi. However, since the Middle Ages, there has been a long line of women who have borne this title and who were thus granted sovereign powers, ceremonial rank and symbolic significance within the Holy Roman Empire. However, little research has been done on these princesses of the early modern period. This blog provides insights into our current research project and highlights the political and representative role of these women..."
index__blog_button,"Zum Blog","To the blog"
index__quote_h,Zitierempfehlung,Recommended citation
index__contact_h,"Kontakt","Contact"
index__contact_text,"Das Projekt “Familiensache. Dynastische Handlungsspielräume in der Korrespondenz von Kaiserin Eleonora Magdalena von Pfalz-Neuburg (1655-1720)” wird am Institut für die Erforschung der Habsburgermonarchie und des Balkanraumes der Österreichischen Akademie der Wissenschaften durchgeführt und durch den FWF gefördert.","The project “Family Matters. Dynastic agency in the correspondence of Empress Eleonora Magdalena of Palatinate-Neuburg (1655-1720)“ is being carried out at the Institute for Habsburg and Balkan Studies at the Austrian Academy of Sciences and funded by the FWF."
navbar__brand,Familiensache,"Family matters"
navbar__project,Zur Edition,About the edition
navbar__about,Über das Projekt,About the project
navbar__tradition,Überlieferung der Quellen,Tradition of the sources
navbar__cipher,Chiffre,Cipher
navbar__edition,Editionsrichtlinien,Edition guidelines
navbar__team,Team,Team
navbar__blog,Blog,Blog
navbar__sourcecode,Quellcode der Applikation,Source code of the application
navbar__calendar,Kalender,Calendar
navbar__letterindex,Briefverzeichnis,Index of letters
navbar__register,Register,Register
navbar__persons,Personen,Person
navbar__places,Orte und Karte,Places and Map
navbar__orgs,Institutionen,Institutions
navbar__search,Suche,Search
navbar__events,Ereignisse,Events
navbar_timeline,Zeitleiste,Timeline,
navbar_imprint,Impressum,Imprint
navbar_storymap,Storymap,Storymap
calendar__legendtitle,Legende (Farben),Legend
calendar__legendextant,Brief liegt vor,extant letter
calendar__legendrefd,Brief wird in einem vorliegenden Brief referenziert,letter referenced by date in another letter
navbar__biography,Biographien,Biographies
navbar__eleonora,Eleonora Magdalena von Pfalz-Neuburg,Eleonora Magdalena von Pfalz-Neuburg
navbar__johannwilhelm,Johann Wilhelm von Pfalz-Neuburg,Johann Wilhelm von Pfalz-Neuburg.
navbar_philippwilhelm,Philip Wilhelm von Pfalz-Neuburg,Philip Wilhelm von Pfalz-Neuburg
navbar_gen,Genealogien,Genealogies
